Bin_ID,Bin_Type,Electoral_Area,Irish_X,Irish_Y
WMS0267,Class A,NORTH CITY,-6.263852,53.349189
WMS3902,Class B,CLONTARF EAST B,-6.183968,53.364428
WMS1221,Bigbelly Bin,NORTH DOCK C,-6.248033,53.347969
WMS3939,Class B,PEMBROKE WEST B,-6.234918,53.321414
WMS1209,Bigbelly Bin,NORTH DOCK B,-6.237826,53.347484
WMS2806,Class B,ASHTOWN A,-6.315741,53.371671
WMS1429,Class A,NORTH CITY,-6.262488,53.3502
WMS3489,Class B,HARMONSTOWN A,-6.194429,53.38439
WMS2177,Class B,BALLYMUN A,-6.279275,53.401722
WMS1728,Bigbelly Bin,RAHENY-GREENDALE,-6.155881,53.386465
WMS0993,Class A,MERCHANTS QUAY A,-6.274663,53.345083
WMS1191,Class A,RATHMINES WEST E,-6.276503,53.311694
WMS0855,Class A,MANSION HOUSE A,-6.257495,53.347199
WMS2478,Class B,HARMONSTOWN B,-6.194114,53.378293
WMS1450,Class A,NORTH CITY,-6.259023,53.347474
WMS4435,Cast Iron,WOOD QUAY B,-6.268211,53.331302
WMS3220,Class B,TERENURE D,-6.28409,53.308424
WMS0619,Class A,ROYAL EXCHANGE B,-6.260836,53.340375
WMS0792,Class A,SOUTH DOCK,-6.246802,53.33796
WMS1783,Bigbelly Bin,RAHENY-St. ASSAM,-6.163694,53.373777
WMS2180,Class B,BALLYMUN A,-6.276552,53.399824
WMS0174,Class A,NORTH CITY,-6.25671,53.348927
WMS2999,Class B,RAHENY-FOXFIELD,-6.154731,53.385773
WMS2948,Class B,ARRAN QUAY A,-6.273354,53.357711
WMS4581,Cast Iron,WOOD QUAY A,-6.271337,53.341969
WMS3771,Class B,CRUMLIN D,-6.299013,53.329596
WMS2444,Class B,GRANGE C,-6.155952,53.391606
WMS0461,Class A,ROYAL EXCHANGE A,-6.267891,53.343679
WMS2697,Class B,HARMONSTOWN A,-6.196968,53.389104
WMS4132,Cast Iron,ARRAN QUAY D,-6.297811,53.351772
WMS3508,Class B,HARMONSTOWN A,-6.197846,53.389024
WMS1351,Class A,RATHMINES EAST D,-6.253507,53.324573
WMS3550,Class B,CLONTARF EAST C,-6.195792,53.364025
WMS2728,Class B,CABRA EAST A,-6.272277,53.363551
WMS2407,Class B,RATHMINES WEST A,-6.279197,53.322543
WMS1455,Class A,USHERS F,-6.303562,53.338948
WMS3540,Class B,WHITEHALL D,-6.233854,53.385741
WMS2552,Class B,CLONTARF WEST D,-6.229807,53.3647
WMS3702,Class B,PRIORSWOOD C,-6.181778,53.401543
WMS3395,Class B,KILMAINHAM C,-6.31414,53.340543
WMS1266,Bigbelly Bin,PEMBROKE WEST A,-6.236316,53.34032
WMS1475,Bigbelly Bin,NORTH DOCK B,-6.24008,53.349026
WMS1217,Bigbelly Bin,NORTH DOCK C,-6.242385,53.34776
WMS0512,Bigbelly Bin,ROYAL EXCHANGE A,-6.26334,53.34553
WMS2940,Class B,INNS QUAY C,-6.270166,53.351422
WMS3810,Class B,ARRAN QUAY C,-6.284092,53.347064
WMS2358,Class B,PRIORSWOOD D,-6.195406,53.396733
WMS0190,Class A,NORTH CITY,-6.255907,53.348264
WMS2249,Class B,KILMORE A,-6.233991,53.398947
WMS2450,Class B,AYRFIELD,-6.183298,53.394718
WMS2706,Class B,WHITEHALL A,-6.246764,53.379561
WMS0538,Class A,TERENURE A,-6.29132,53.318742
WMS0866,Class A,MANSION HOUSE A,-6.258296,53.347188
WMS1312,Class A,MERCHANTS QUAY E,-6.280067,53.33117
WMS1103,Bigbelly Bin,CHAPELIZOD,-6.344721,53.34953
WMS0445,Class A,ROYAL EXCHANGE A,-6.269706,53.344437
WMS2150,Class B,WHITEHALL A,-6.265488,53.38229
WMS2605,Class B,CLONTARF WEST C,-6.22077,53.363093
WMS0329,Class A,ROTUNDA B,-6.267368,53.350188
WMS3493,Class B,BALLYGALL A,-6.298458,53.389621
WMS2979,Class B,SAINT KEVIN'S,-6.259832,53.332733
WMS2290,Class B,BEAUMONT C,-6.210869,53.380365
WMS1642,Dog Bin,BOTANIC B,-6.261052,53.368684
WMS1252,Bigbelly Bin,SOUTH DOCK,-6.238911,53.342385
WMS2926,Class B,INNS QUAY B,-6.268313,53.358739
WMS2768,Class B,CABRA EAST B,-6.287097,53.364773
WMS1727,Bigbelly Bin,CLONTARF WEST C,-6.21846,53.36268
WMS3522,Class B,CABRA WEST B,-6.299844,53.372313
WMS1436,Bigbelly Bin,ROYAL EXCHANGE A,-6.26238,53.346109
WMS4160,Cast Iron,NORTH DOCK C,-6.241017,53.350676
WMS2096,Class B,BALLYGALL B,-6.282597,53.390517
WMS2247,Class B,KILMORE A,-6.233697,53.397763
WMS1271,Bigbelly Bin,NORTH DOCK C,-6.244916,53.349425
WMS1451,Class A,NORTH CITY,-6.259353,53.347644
WMS0668,Class A,ROYAL EXCHANGE B,-6.263753,53.341851
WMS0062,Class A,CLONTARF EAST B,-6.176667,53.364168
WMS3125,Class B,PEMBROKE EAST E,-6.225661,53.326154
WMS1679,Dog Bin,CABRA EAST B,-6.282748,53.363201
WMS1116,Bigbelly Bin,NORTH CITY,-6.262674,53.346652
WMS1238,Bigbelly Bin,SOUTH DOCK,-6.235782,53.345715
WMS0854,Class A,MANSION HOUSE A,-6.257876,53.347124
WMS1654,Class A,MERCHANTS QUAY C,-6.284616,53.340306
WMS1260,Bigbelly Bin,SOUTH DOCK,-6.237586,53.344284
WMS0372,Class A,NORTH CITY,-6.261136,53.348268
WMS3074,Class B,PEMBROKE EAST D,-6.206845,53.316795
WMS2004,Class B,BOTANIC B,-6.255983,53.365928
WMS1615,Bigbelly Bin,MANSION HOUSE A,-6.257151,53.347445
WMS0560,Class A,ROYAL EXCHANGE A,-6.264559,53.342651
WMS4231,Cast Iron,MOUNTJOY B,-6.251578,53.356249
WMS4670,Cast Iron,USHERS C,-6.287744,53.34228
WMS1029,Class A,ROTUNDA A,-6.259562,53.353533
WMS3350,Class B,CRUMLIN D,-6.318823,53.323413
WMS2375,Class B,PRIORSWOOD C,-6.195077,53.401327
WMS0687,Class A,MANSION HOUSE B,-6.262305,53.337677
WMS4394,Cast Iron,MANSION HOUSE A,-6.246206,53.34341
WMS0837,Class A,MANSION HOUSE A,-6.251982,53.3447
WMS3537,Class B,CLONTARF WEST B,-6.216111,53.376834
WMS0321,Class A,ROTUNDA B,-6.265579,53.350773
WMS4530,Cast Iron,DRUMFINN,-6.352303,53.342335
WMS0948,Class A,RATHMINES WEST B,-6.265223,53.324329
WMS1393,Bigbelly Bin,ARRAN QUAY C,-6.278619,53.347248
WMS3031,Class B,PEMBROKE EAST C,-6.205899,53.319731
WMS3456,Class B,DRUMFINN,-6.353728,53.344657
WMS0282,Class A,GRANGE A,-6.162478,53.396319
WMS1788,Bigbelly Bin,CLONTARF EAST A,-6.178207,53.37981
WMS0144,Class A,MOUNTJOY A,-6.253807,53.350771
WMS2824,Class B,ASHTOWN B,-6.313883,53.364966
WMS3384,Class B,CRUMLIN F,-6.32174,53.326059
WMS3020,Class B,PEMBROKE WEST A,-6.232556,53.3393
WMS2689,Class B,DRUMCONDRA SOUTH A,-6.254143,53.369904
WMS1220,Bigbelly Bin,NORTH DOCK C,-6.245756,53.347987
WMS0602,Class A,BALLYMUN C,-6.26325,53.396065
WMS2997,Class B,SAINT KEVIN'S,-6.267443,53.332571
WMS3331,Class B,WALKINSTOWN B,-6.323419,53.324542
WMS3492,Class B,BALLYMUN E,-6.278088,53.390431
WMS3660,Class B,FINGLAS NORTH B,-6.306781,53.389879
WMS2418,Class B,HARMONSTOWN A,-6.195326,53.388892
WMS4518,Cast Iron,WALKINSTOWN B,-6.325792,53.324206
WMS3123,Class B,RATHMINES EAST B,-6.234847,53.321095
WMS0333,Class A,NORTH CITY,-6.266731,53.348869
WMS1620,Class A,RATHMINES WEST F,-6.265711,53.323594
WMS0524,Class A,KILMAINHAM C,-6.314176,53.33614
WMS4485,Cast Iron,MERCHANTS QUAY B,-6.280673,53.342969
WMS0571,Class A,ROYAL EXCHANGE B,-6.265827,53.338026
WMS0753,Class A,SAINT KEVIN'S,-6.25531,53.334283
WMS3051,Class B,PEMBROKE EAST B,-6.226352,53.337614
WMS1281,Bigbelly Bin,NORTH DOCK B,-6.2319,53.34858
WMS0634,Class A,MANSION HOUSE B,-6.260161,53.341551
WMS4515,Cast Iron,MERCHANTS QUAY C,-6.285845,53.337319
WMS1338,Class A,EDENMORE,-6.182305,53.388189
WMS4287,Cast Iron,MOUNTJOY A,-6.253344,53.351304
WMS4301,Cast Iron,ROTUNDA B,-6.269376,53.351605
WMS1204,Bigbelly Bin,NORTH DOCK B,-6.231795,53.346915
WMS3866,Class B,PEMBROKE EAST D,-6.212814,53.320589
WMS2899,Class B,GRANGE A,-6.17249,53.395677
WMS3691,Class B,FINGLAS SOUTH A,-6.305788,53.387988
WMS3437,Class B,CRUMLIN D,-6.31651,53.325573
WMS0611,Class A,ROYAL EXCHANGE B,-6.261877,53.340249
WMS1008,Class A,ROTUNDA B,-6.262356,53.352262
WMS2743,Class B,BALLYGALL A,-6.29098,53.381976
WMS3385,Class B,CRUMLIN A,-6.319375,53.334377
WMS4377,Cast Iron,SOUTH DOCK,-6.247567,53.338073
WMS2950,Class B,ARRAN QUAY A,-6.273718,53.356898
WMS3174,Class B,RATHMINES EAST C,-6.252098,53.311001
WMS1452,Class A,NORTH CITY,-6.25925,53.347657
WMS0122,Class A,MOUNTJOY A,-6.252412,53.351672
WMS1127,Bigbelly Bin,NORTH CITY,-6.256855,53.347921
WMS1308,Bigbelly Bin,MANSION HOUSE A,-6.246478,53.345263
WMS0592,Class A,MERCHANTS QUAY B,-6.272466,53.341481
WMS1741,Bigbelly Bin,CLONTARF WEST D,-6.216921,53.362155
WMS0088,Class A,MOUNTJOY B,-6.261668,53.359096
WMS1017,Class A,NORTH CITY,-6.261033,53.351096
WMS0480,Class A,GRANGE B,-6.161811,53.397567
WMS1701,Dog Bin,CRUMLIN B,-6.306059,53.336484
WMS4613,Cast Iron,MERCHANTS QUAY F,-6.287603,53.336548
WMS1362,Bigbelly Bin,EDENMORE,-6.182073,53.388271
WMS3609,Class B,CABRA EAST C,-6.291752,53.358814
WMS3170,Class B,RATHFARNHAM,-6.261157,53.311128
WMS4333,Cast Iron,SOUTH DOCK,-6.248595,53.336676
WMS4135,Cast Iron,ARRAN QUAY D,-6.295917,53.350024
WMS0930,Bigbelly Bin,PEMBROKE WEST C,-6.246333,53.333767
WMS3799,Class B,KIMMAGE C,-6.290157,53.326684
WMS1187,Bigbelly Bin,MOUNTJOY A,-6.250253,53.354257
WMS4388,Cast Iron,SOUTH DOCK,-6.245896,53.339361
WMS3729,Class B,ASHTOWN A,-6.323053,53.376455
WMS1410,Class A,CLONTARF WEST D,-6.218343,53.362257
WMS2685,Class B,DRUMCONDRA SOUTH A,-6.252318,53.372806
WMS1044,Class A,MANSION HOUSE B,-6.258153,53.341853
WMS3261,Class B,KIMMAGE E,-6.297739,53.313531
WMS2376,Class B,BEAUMONT C,-6.21335,53.388835
WMS2126,Class B,BALLYGALL C,-6.273433,53.383989
WMS3165,Class B,RATHMINES WEST C,-6.261868,53.313327
WMS4142,Cast Iron,MOUNTJOY A,-6.247981,53.355573
WMS3353,Class B,WALKINSTOWN C,-6.325531,53.316977
WMS1764,Bigbelly Bin,ROYAL EXCHANGE A,-6.259304,53.346755
WMS3515,Class B,TERENURE C,-6.290166,53.310403
WMS2953,Class B,INNS QUAY C,-6.274636,53.348715
WMS1380,Class A,NORTH CITY,-6.260256,53.349183
WMS1739,Bigbelly Bin,CLONTARF EAST B,-6.182364,53.360805
WMS4395,Cast Iron,MANSION HOUSE A,-6.247246,53.342267
WMS4174,Cast Iron,ROTUNDA A,-6.261257,53.358609
WMS3643,Class B,KIMMAGE B,-6.300757,53.324853
WMS1738,Class A,WALKINSTOWN A,-6.331873,53.324017
WMS3724,Class B,BALLYGALL A,-6.295685,53.389756
WMS4588,Cast Iron,MOUNTJOY B,-6.256747,53.355976
WMS1000,Class A,ROTUNDA B,-6.267347,53.352484
WMS1232,Class A,NORTH CITY,-6.267057,53.349765
WMS3096,Class B,PEMBROKE WEST B,-6.239562,53.3241
WMS4711,Cast Iron,MERCHANTS QUAY B,-6.275018,53.341589
WMS0977,Class A,MERCHANTS QUAY B,-6.273163,53.343012
WMS3628,Class B,PEMBROKE WEST A,-6.233823,53.337147
WMS1471,Class A,RATHMINES WEST B,-6.265062,53.325285
WMS1468,Bigbelly Bin,MOUNTJOY A,-6.254231,53.353104
WMS3105,Class B,PEMBROKE EAST D,-6.227529,53.316136
WMS0389,Class A,NORTH CITY,-6.263351,53.34685
WMS4525,Cast Iron,DRUMFINN,-6.350672,53.342382
WMS4340,Cast Iron,SOUTH DOCK,-6.249292,53.336456
WMS4148,Cast Iron,NORTH DOCK C,-6.243482,53.352239
WMS0006,Class A,BALLYMUN D,-6.264366,53.395156
WMS4524,Cast Iron,KILMAINHAM C,-6.317961,53.339775
WMS2628,Class B,CLONTARF EAST A,-6.177304,53.379043
WMS1632,Dog Bin,FINGLAS SOUTH D,-6.314412,53.379005
WMS4129,Cast Iron,ARRAN QUAY D,-6.297941,53.352208
WMS0399,Class A,PEMBROKE EAST A,-6.226962,53.341767
WMS2010,Class B,FINGLAS NORTH C,-6.30105,53.394224
WMS1345,Bigbelly Bin,WALKINSTOWN C,-6.316969,53.320878
WMS2151,Class B,WHITEHALL A,-6.265542,53.38187
WMS3375,Class B,INCHICORE B,-6.342047,53.327213
WMS0009,Class A,BALLYMUN D,-6.264328,53.396717
